v1	V(va)	V(vb)	V(vc)
Step Information: Rt=1K Rp=1K  (Step: 1/100)
3.800000000000002e+00	3.800000e+00	2.850000e+00	3.454545e+00
3.900000000000002e+00	3.900000e+00	2.925000e+00	3.545455e+00
4.000000000000002e+00	4.000000e+00	3.000000e+00	3.636364e+00
4.100000000000001e+00	4.100000e+00	3.075000e+00	3.727273e+00
4.200000000000001e+00	4.200000e+00	3.150000e+00	3.818182e+00
4.300000000000001e+00	4.300000e+00	3.225000e+00	3.909091e+00
4.400000000000000e+00	4.400000e+00	3.300000e+00	4.000000e+00
4.500000000000000e+00	4.500000e+00	3.375000e+00	4.090909e+00
4.600000000000000e+00	4.600000e+00	3.450000e+00	4.181818e+00
4.699999999999999e+00	4.700000e+00	3.525000e+00	4.272727e+00
4.799999999999999e+00	4.800000e+00	3.600000e+00	4.363636e+00
4.899999999999999e+00	4.900000e+00	3.675000e+00	4.454545e+00
5.000000000000000e+00	5.000000e+00	3.750000e+00	4.545455e+00
Step Information: Rt=6K Rp=1K  (Step: 6/100)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-01	1.000000e-01	7.142857e-02	9.090909e-02
2.000000000000000e-01	2.000000e-01	1.428571e-01	1.818182e-01
3.000000000000000e-01	3.000000e-01	2.142857e-01	2.727273e-01
4.000000000000000e-01	4.000000e-01	2.857143e-01	3.636364e-01
5.000000000000000e-01	5.000000e-01	3.571429e-01	4.545455e-01
6.000000000000000e-01	6.000000e-01	4.285714e-01	5.454546e-01
7.000000000000000e-01	7.000000e-01	5.000000e-01	6.363636e-01
7.999999999999999e-01	8.000000e-01	5.714286e-01	7.272727e-01
8.999999999999999e-01	9.000000e-01	6.428571e-01	8.181818e-01
9.999999999999999e-01	1.000000e+00	7.142857e-01	9.090909e-01
1.100000000000000e+00	1.100000e+00	7.857143e-01	1.000000e+00
1.200000000000000e+00	1.200000e+00	8.571429e-01	1.090909e+00
1.300000000000000e+00	1.300000e+00	9.285714e-01	1.181818e+00
1.400000000000000e+00	1.400000e+00	1.000000e+00	1.272727e+00
1.500000000000000e+00	1.500000e+00	1.071429e+00	1.363636e+00
1.600000000000000e+00	1.600000e+00	1.142857e+00	1.454545e+00
1.700000000000000e+00	1.700000e+00	1.214286e+00	1.545455e+00
1.800000000000000e+00	1.800000e+00	1.285714e+00	1.636364e+00
1.900000000000001e+00	1.900000e+00	1.357143e+00	1.727273e+00
2.000000000000000e+00	2.000000e+00	1.428571e+00	1.818182e+00
2.100000000000001e+00	2.100000e+00	1.500000e+00	1.909091e+00
2.200000000000001e+00	2.200000e+00	1.571429e+00	2.000000e+00
2.300000000000001e+00	2.300000e+00	1.642857e+00	2.090909e+00
2.400000000000001e+00	2.400000e+00	1.714286e+00	2.181818e+00
2.500000000000001e+00	2.500000e+00	1.785714e+00	2.272727e+00
2.600000000000001e+00	2.600000e+00	1.857143e+00	2.363636e+00
2.700000000000001e+00	2.700000e+00	1.928571e+00	2.454545e+00
2.800000000000001e+00	2.800000e+00	2.000000e+00	2.545455e+00
2.900000000000001e+00	2.900000e+00	2.071429e+00	2.636364e+00
3.000000000000001e+00	3.000000e+00	2.142857e+00	2.727273e+00
3.100000000000001e+00	3.100000e+00	2.214286e+00	2.818182e+00
3.200000000000002e+00	3.200000e+00	2.285714e+00	2.909091e+00
3.300000000000002e+00	3.300000e+00	2.357143e+00	3.000000e+00
3.400000000000002e+00	3.400000e+00	2.428571e+00	3.090909e+00
3.500000000000002e+00	3.500000e+00	2.500000e+00	3.181818e+00
3.600000000000002e+00	3.600000e+00	2.571429e+00	3.272727e+00
3.700000000000002e+00	3.700000e+00	2.642857e+00	3.363636e+00
3.800000000000002e+00	3.800000e+00	2.714286e+00	3.454545e+00
3.900000000000002e+00	3.900000e+00	2.785714e+00	3.545455e+00
4.000000000000002e+00	4.000000e+00	2.857143e+00	3.636364e+00
4.100000000000001e+00	4.100000e+00	2.928571e+00	3.727273e+00
4.200000000000001e+00	4.200000e+00	3.000000e+00	3.818182e+00
4.300000000000001e+00	4.300000e+00	3.071429e+00	3.909091e+00
4.400000000000000e+00	4.400000e+00	3.142857e+00	4.000000e+00
4.500000000000000e+00	4.500000e+00	3.214286e+00	4.090909e+00
4.600000000000000e+00	4.600000e+00	3.285714e+00	4.181818e+00
4.699999999999999e+00	4.700000e+00	3.357143e+00	4.272727e+00
4.799999999999999e+00	4.800000e+00	3.428571e+00	4.363636e+00
4.899999999999999e+00	4.900000e+00	3.500000e+00	4.454545e+00
5.000000000000000e+00	5.000000e+00	3.571429e+00	4.545455e+00
Step Information: Rt=7K Rp=1K  (Step: 7/100)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-01	1.000000e-01	6.818182e-02	9.090909e-02
2.000000000000000e-01	2.000000e-01	1.363636e-01	1.818182e-01
3.000000000000000e-01	3.000000e-01	2.045455e-01	2.727273e-01
4.000000000000000e-01	4.000000e-01	2.727273e-01	3.636364e-01
5.000000000000000e-01	5.000000e-01	3.409091e-01	4.545455e-01
6.000000000000000e-01	6.000000e-01	4.090909e-01	5.454546e-01
7.000000000000000e-01	7.000000e-01	4.772727e-01	6.363636e-01
7.999999999999999e-01	8.000000e-01	5.454546e-01	7.272727e-01
8.999999999999999e-01	9.000000e-01	6.136364e-01	8.181818e-01
9.999999999999999e-01	1.000000e+00	6.818182e-01	9.090909e-01
1.100000000000000e+00	1.100000e+00	7.500000e-01	1.000000e+00
1.200000000000000e+00	1.200000e+00	8.181818e-01	1.090909e+00
1.300000000000000e+00	1.300000e+00	8.863636e-01	1.181818e+00
1.400000000000000e+00	1.400000e+00	9.545454e-01	1.272727e+00
1.500000000000000e+00	1.500000e+00	1.022727e+00	1.363636e+00
1.600000000000000e+00	1.600000e+00	1.090909e+00	1.454545e+00
1.700000000000000e+00	1.700000e+00	1.159091e+00	1.545455e+00
1.800000000000000e+00	1.800000e+00	1.227273e+00	1.636364e+00
1.900000000000001e+00	1.900000e+00	1.295455e+00	1.727273e+00
2.000000000000000e+00	2.000000e+00	1.363636e+00	1.818182e+00
2.100000000000001e+00	2.100000e+00	1.431818e+00	1.909091e+00
2.200000000000001e+00	2.200000e+00	1.500000e+00	2.000000e+00
2.300000000000001e+00	2.300000e+00	1.568182e+00	2.090909e+00
2.400000000000001e+00	2.400000e+00	1.636364e+00	2.181818e+00
2.500000000000001e+00	2.500000e+00	1.704545e+00	2.272727e+00
2.600000000000001e+00	2.600000e+00	1.772727e+00	2.363636e+00
2.700000000000001e+00	2.700000e+00	1.840909e+00	2.454545e+00
2.800000000000001e+00	2.800000e+00	1.909091e+00	2.545455e+00
2.900000000000001e+00	2.900000e+00	1.977273e+00	2.636364e+00
3.000000000000001e+00	3.000000e+00	2.045455e+00	2.727273e+00
3.100000000000001e+00	3.100000e+00	2.113636e+00	2.818182e+00
3.200000000000002e+00	3.200000e+00	2.181818e+00	2.909091e+00
3.300000000000002e+00	3.300000e+00	2.250000e+00	3.000000e+00
3.400000000000002e+00	3.400000e+00	2.318182e+00	3.090909e+00
3.500000000000002e+00	3.500000e+00	2.386364e+00	3.181818e+00
3.600000000000002e+00	3.600000e+00	2.454545e+00	3.272727e+00
3.700000000000002e+00	3.700000e+00	2.522727e+00	3.363636e+00
3.800000000000002e+00	3.800000e+00	2.590909e+00	3.454545e+00
3.900000000000002e+00	3.900000e+00	2.659091e+00	3.545455e+00
4.000000000000002e+00	4.000000e+00	2.727273e+00	3.636364e+00
4.100000000000001e+00	4.100000e+00	2.795455e+00	3.727273e+00
4.200000000000001e+00	4.200000e+00	2.863636e+00	3.818182e+00
4.300000000000001e+00	4.300000e+00	2.931818e+00	3.909091e+00
4.400000000000000e+00	4.400000e+00	3.000000e+00	4.000000e+00
4.500000000000000e+00	4.500000e+00	3.068182e+00	4.090909e+00
4.600000000000000e+00	4.600000e+00	3.136364e+00	4.181818e+00
4.699999999999999e+00	4.700000e+00	3.204545e+00	4.272727e+00
4.799999999999999e+00	4.800000e+00	3.272727e+00	4.363636e+00
4.899999999999999e+00	4.900000e+00	3.340909e+00	4.454545e+00
5.000000000000000e+00	5.000000e+00	3.409091e+00	4.545455e+00
Step Information: Rt=8K Rp=1K  (Step: 8/100)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-01	1.000000e-01	6.521739e-02	9.090909e-02
2.000000000000000e-01	2.000000e-01	1.304348e-01	1.818182e-01
3.000000000000000e-01	3.000000e-01	1.956522e-01	2.727273e-01
4.000000000000000e-01	4.000000e-01	2.608696e-01	3.636364e-01
5.000000000000000e-01	5.000000e-01	3.260870e-01	4.545455e-01
6.000000000000000e-01	6.000000e-01	3.913043e-01	5.454546e-01
7.000000000000000e-01	7.000000e-01	4.565217e-01	6.363636e-01
7.999999999999999e-01	8.000000e-01	5.217391e-01	7.272727e-01
8.999999999999999e-01	9.000000e-01	5.869565e-01	8.181818e-01
9.999999999999999e-01	1.000000e+00	6.521739e-01	9.090909e-01
1.100000000000000e+00	1.100000e+00	7.173913e-01	1.000000e+00
1.200000000000000e+00	1.200000e+00	7.826087e-01	1.090909e+00
1.300000000000000e+00	1.300000e+00	8.478261e-01	1.181818e+00
1.400000000000000e+00	1.400000e+00	9.130435e-01	1.272727e+00
1.500000000000000e+00	1.500000e+00	9.782609e-01	1.363636e+00
1.600000000000000e+00	1.600000e+00	1.043478e+00	1.454545e+00
1.700000000000000e+00	1.700000e+00	1.108696e+00	1.545455e+00
1.800000000000000e+00	1.800000e+00	1.173913e+00	1.636364e+00
1.900000000000001e+00	1.900000e+00	1.239130e+00	1.727273e+00
2.000000000000000e+00	2.000000e+00	1.304348e+00	1.818182e+00
2.100000000000001e+00	2.100000e+00	1.369565e+00	1.909091e+00
2.200000000000001e+00	2.200000e+00	1.434783e+00	2.000000e+00
